0	   0	2.2.16 Dialog: Ausstattung laden	       0.951	bert
0	   1	2.2.14 Dialog: Kurztest laden	       0.950	bert
0	   2	2.2.7  Dialog: (Reinen) E/E Auftrag[LE54] anlegen/bearbeiten	       0.950	bert
0	   3	2.2.5.3.1 Menüleiste	       0.950	bert
0	   4	2.2.5.2.2 Kontextmenü Masterbereich	       0.948	bert
0	   5	2.2.24 Dialog: Massenanlage[LE124] (reine) E/E Aufträge	       0.947	bert
0	   6	2.2.5.5 E/E Auftragsverwaltung Mastertabelle	       0.947	bert
0	   7	2.3.2  Prozess für einen Reinen E/E Auftrag auf Basis VEEMOS	       0.947	bert
0	   8	2.2.22  Dialog: Messumfängekatalog[LE120]	       0.946	bert
0	   9	2.2.5.3.2 Toolbar	       0.945	bert
0	  10	5.4.2 Auslöser „Zuständigkeitswechsel[LE185]“	       0.945	bert
0	  11	2.2.25  Dialog: Massenbearbeitung[LE135] von Aufträgen	       0.944	bert
0	  12	2.2.21  Dialog: Kontierungsverwaltung[LE119]	       0.943	bert
0	  13	2.3.5  Prozess bei diversen Zielzuständen	       0.942	bert
0	  14	2.3.3  Prozess für Stornierung	       0.942	bert
0	  15	2.2.23  Dialog: Montageberichtskatalog[LE121]	       0.941	bert
0	  16	2.2.10 Dialog: Auftrag anzeigen[LE95]	       0.940	bert
0	  17	2.3  Auftragstatus	       0.939	bert
0	  18	5.4.1 Auslöser[LE184] „Statuswechsel“ und „PIT Auftragseingang“	       0.939	bert
0	  19	5.5 Archivierungskonzept[LE187]	       0.939	bert
0	  20	2.3.4  Prozess für Ablehung	       0.938	bert
0	  21	2.2.17 Dialog: Ausstattung anzeigen	       0.937	bert
0	  22	2.2.12  Dialog: Zuordnung[LE98] HW/SW Umbaumeisterei	       0.937	bert
0	  23	2.2.27  Dialog: Benutzer pflegen	       0.936	bert
0	  24	2.2.13  Dialog: (Neue) Meisterei anlegen/bearbeiten	       0.936	bert
0	  25	2.2.5.2.1 Kontextmenü Navigationsbaum[LE26]	       0.936	bert
0	  26	5.2 Berechtigungskonzept	       0.936	bert
0	  27	3.1.2 FO: AuthorizationProfile	       0.936	bert
0	  28	2.2.5.1.1 Navigationsbaum	       0.934	bert
0	  29	2.3.1  Prozess für einen E/E Auftrag auf Basis PiT	       0.934	bert
0	  30	2.2.7.2.1 Dialog: Montageberichtkatalog	       0.933	bert
0	  31	2.2.6 Offener Auftrag – Hinweismeldung	       0.933	bert
0	  32	2.2.5.6  E/E Auftragsverwaltung Detailbereich[LE51]	       0.928	bert
